Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,SampleID,SampleID2,Order,DNA_ng_per_gsoilDM_serial,B_no_gc_per_g_soil,B_no_gc_per_g_soil_log10
A2,J18,S20,7,20,6177,Bacteria,1,0,6.13,3,S20,A20,D7A20,D7A20,17359.95,23438404397,10.37
A1,M05,S3,7,20,2318,Bacteria,4538800,907760,5.96,1,S3,A3,D7A3,D7A3,23012.24,20889593135,10.32
A1,M06,S3,7,20,2318,Bacteria,4509050,901810,5.96,2,S3,A3,D7A3,D7A3,23012.24,20752670293,10.32
A1,N05,S3,7,20,2318,Bacteria,4430973,886195,5.95,3,S3,A3,D7A3,D7A3,23012.24,20393334129,10.31
A1,N06,S3,7,20,2318,Bacteria,2571640,514328,5.71,4,S3,A3,D7A3,D7A3,23012.24,11835840595,10.07
A1,O05,S4,7,20,3919,Bacteria,2936970,587394,5.77,1,S4,A4,D7A4,D7A4,34164.3,20067902746,10.3
A1,O06,S4,7,20,3919,Bacteria,2782351,556470,5.75,2,S4,A4,D7A4,D7A4,34164.3,19011406043,10.28
A1,P05,S4,7,20,3919,Bacteria,2955804,591161,5.77,3,S4,A4,D7A4,D7A4,34164.3,20196599651,10.31
A1,P06,S4,7,20,3919,Bacteria,3340385,668077,5.82,4,S4,A4,D7A4,D7A4,34164.3,22824380676,10.36
A1,A07,S5,7,20,2512,Bacteria,3273540,654708,5.82,1,S5,A5,D7A5,D7A5,40565.2,26558360984,10.42
A1,A08,S5,7,20,2512,Bacteria,3494790,698958,5.84,2,S5,A5,D7A5,D7A5,40565.2,28353371085,10.45
A1,B07,S5,7,20,2512,Bacteria,2958021,591604,5.77,3,S5,A5,D7A5,D7A5,40565.2,23998534601,10.38
A1,B08,S5,7,20,2512,Bacteria,2993817,598763,5.78,4,S5,A5,D7A5,D7A5,40565.2,24288940868,10.39
A2,M04,S6,7,20,116,Bacteria,1718080,343616,5.54,1,S6,A6,D7A6,D7A6,25217.14,8665012891,9.94
A2,N04,S6,7,20,116,Bacteria,3881602,776320,5.89,2,S6,A6,D7A6,D7A6,25217.14,19576570380,10.29
A2,N17,S6,7,20,116,Bacteria,6506454,1301291,6.11,3,S6,A6,D7A6,D7A6,25217.14,32814837756,10.52
A2,O04,S7,7,20,124,Bacteria,8101534,1620307,6.21,1,S7,A7,D7A7,D7A7,9280.47,15037214027,10.18
A2,P04,S7,7,20,124,Bacteria,8822969,1764594,6.25,2,S7,A7,D7A7,D7A7,9280.47,16376265516,10.21
A2,P17,S7,7,20,124,Bacteria,4945956,989191,6,3,S7,A7,D7A7,D7A7,9280.47,9180159551,9.96
A2,A05,S8,7,20,353,Bacteria,4329921,865984,5.94,1,S8,A8,D7A8,D7A8,7692.54,6661615894,9.82
A2,A18,S8,7,20,353,Bacteria,11991754,2398351,6.38,2,S8,A8,D7A8,D7A8,7692.54,18449409158,10.27
A2,B05,S8,7,20,353,Bacteria,10091231,2018246,6.3,3,S8,A8,D7A8,D7A8,7692.54,15525436533,10.19
A2,C05,S9,7,20,6023,Bacteria,3401887,680377,5.83,1,S9,A9,D7A9,D7A9,9063.68,6166719089,9.79
A2,C18,S9,7,20,6023,Bacteria,5272169,1054434,6.02,2,S9,A9,D7A9,D7A9,9063.68,9557051864,9.98
A2,D05,S9,7,20,6023,Bacteria,2960693,592139,5.77,3,S9,A9,D7A9,D7A9,9063.68,5366958135,9.73
A1,C07,S1,7,12,3865,Bacteria,5063114,1012623,6.01,1,S1,B1,D7B1,D7B1,29285.49,29655164271,10.47
A1,C08,S1,7,12,3865,Bacteria,4804951,960990,5.98,2,S1,B1,D7B1,D7B1,29285.49,28143066386,10.45
A1,D07,S1,7,12,3865,Bacteria,3737416,747483,5.87,3,S1,B1,D7B1,D7B1,29285.49,21890408528,10.34
A1,D08,S1,7,12,3865,Bacteria,4156706,831341,5.92,4,S1,B1,D7B1,D7B1,29285.49,24346231441,10.39
B2,E05,S10,7,12,1881,Bacteria,4041915,808383,5.91,1,S10,B10,D7B10,D7B10,14446.03,11677929051,10.07
B2,E18,S10,7,12,1881,Bacteria,4530219,906044,5.96,2,S10,B10,D7B10,D7B10,14446.03,13088743268,10.12
B2,F05,S10,7,12,1881,Bacteria,7645094,1529019,6.18,3,S10,B10,D7B10,D7B10,14446.03,22088261876,10.34
B2,G05,S11,7,12,2259,Bacteria,2940512,588102,5.77,1,S11,B11,D7B11,D7B11,15576.01,9160281964,9.96
B2,G18,S11,7,12,2259,Bacteria,3606678,721336,5.86,2,S11,B11,D7B11,D7B11,15576.01,11235535928,10.05
B2,H05,S11,7,12,2259,Bacteria,3685758,737152,5.87,3,S11,B11,D7B11,D7B11,15576.01,11481886085,10.06
B2,I05,S12,7,12,2407,Bacteria,10851683,2170337,6.34,1,S12,B12,D7B12,D7B12,15212.68,33016642419,10.52
B2,I18,S12,7,12,2407,Bacteria,3069888,613978,5.79,2,S12,B12,D7B12,D7B12,15212.68,9340250882,9.97
B2,J05,S12,7,12,2407,Bacteria,3284870,656974,5.82,3,S12,B12,D7B12,D7B12,15212.68,9994335274,10
B2,K05,S13,7,12,2408,Bacteria,6123654,1224731,6.09,1,S13,B13,D7B13,D7B13,9147.2,11202854203,10.05
B2,K18,S13,7,12,2408,Bacteria,3765383,753077,5.88,2,S13,B13,D7B13,D7B13,9147.2,6888542737,9.84
B2,L05,S13,7,12,2408,Bacteria,5195981,1039196,6.02,3,S13,B13,D7B13,D7B13,9147.2,9505729239,9.98
B2,M05,S14,7,12,2411,Bacteria,3812746,762549,5.88,1,S14,B14,D7B14,D7B14,8907.49,6792394457,9.83
B2,M18,S14,7,12,2411,Bacteria,8456087,1691217,6.23,2,S14,B14,D7B14,D7B14,8907.49,15064491561,10.18
B2,N05,S14,7,12,2411,Bacteria,15060497,3012099,6.48,3,S14,B14,D7B14,D7B14,8907.49,26830229336,10.43
B2,O05,S15,7,12,2417,Bacteria,6858186,1371637,6.14,1,S15,B15,D7B15,D7B15,6656.01,9129628665,9.96
B2,O18,S15,7,12,2417,Bacteria,3723953,744791,5.87,2,S15,B15,D7B15,D7B15,6656.01,4957335843,9.7
B2,P05,S15,7,12,2417,Bacteria,22562356,4512471,6.65,3,S15,B15,D7B15,D7B15,6656.01,30035049063,10.48
B2,A06,S16,7,12,4254,Bacteria,5455311,1091062,6.04,1,S16,B16,D7B16,D7B16,20775.29,22667124243,10.36
B2,B06,S16,7,12,4254,Bacteria,6956627,1391325,6.14,2,S16,B16,D7B16,D7B16,20775.29,28905173708,10.46
B2,B18,S16,7,12,4254,Bacteria,4942877,988575,6,3,S16,B16,D7B16,D7B16,20775.29,20537927586,10.31
B2,C06,S17,7,12,2665,Bacteria,7662496,1532499,6.19,1,S17,B17,D7B17,D7B17,27508.96,42157447023,10.62
B2,D06,S17,7,12,2665,Bacteria,7085144,1417029,6.15,2,S17,B17,D7B17,D7B17,27508.96,38980987914,10.59
B2,D18,S17,7,12,2665,Bacteria,6618943,1323789,6.12,3,S17,B17,D7B17,D7B17,27508.96,36416052889,10.56
B2,E06,S18,7,12,6127,Bacteria,9237717,1847543,6.27,1,S18,B18,D7B18,D7B18,9340.4,17256786715,10.24
B2,F06,S18,7,12,6127,Bacteria,4828646,965729,5.98,2,S18,B18,D7B18,D7B18,9340.4,9020293101,9.96
B2,F18,S18,7,12,6127,Bacteria,8049919,1609984,6.21,3,S18,B18,D7B18,D7B18,9340.4,15037891136,10.18
B2,G06,S19,7,12,6135,Bacteria,8559791,1711958,6.23,1,S19,B19,D7B19,D7B19,10977.36,18792775858,10.27
B2,H06,S19,7,12,6135,Bacteria,3786981,757396,5.88,2,S19,B19,D7B19,D7B19,10977.36,8314207045,9.92
B2,H18,S19,7,12,6135,Bacteria,2839575,567915,5.75,3,S19,B19,D7B19,D7B19,10977.36,6234206272,9.79
A1,E07,S2,7,12,4779,Bacteria,3991654,798331,5.9,1,S2,B2,D7B2,D7B2,24317.62,19413511387,10.29
A1,E08,S2,7,12,4779,Bacteria,4137053,827411,5.92,2,S2,B2,D7B2,D7B2,24317.62,20120667831,10.3
A1,F07,S2,7,12,4779,Bacteria,2396474,479295,5.68,3,S2,B2,D7B2,D7B2,24317.62,11655314575,10.07
A1,F08,S2,7,12,4779,Bacteria,3617752,723550,5.86,4,S2,B2,D7B2,D7B2,24317.62,17595015305,10.25
B2,I06,S20,7,12,6177,Bacteria,12371886,2474377,6.39,1,S20,B20,D7B20,D7B20,16301.7,40336540609,10.61
B2,J06,S20,7,12,6177,Bacteria,3672969,734594,5.87,2,S20,B20,D7B20,D7B20,16301.7,11975127764,10.08
B2,J18,S20,7,12,6177,Bacteria,3060579,612116,5.79,3,S20,B20,D7B20,D7B20,16301.7,9978528693,10
A1,G07,S3,7,12,2318,Bacteria,5417299,1083460,6.03,1,S3,B3,D7B3,D7B3,21058.04,22815543681,10.36
A1,G08,S3,7,12,2318,Bacteria,5088885,1017777,6.01,2,S3,B3,D7B3,D7B3,21058.04,21432388460,10.33
A1,H07,S3,7,12,2318,Bacteria,4711465,942293,5.97,3,S3,B3,D7B3,D7B3,21058.04,19842843392,10.3
A1,H08,S3,7,12,2318,Bacteria,4997544,999509,6,4,S3,B3,D7B3,D7B3,21058.04,21047700191,10.32
A1,I07,S4,7,12,3919,Bacteria,3490318,698064,5.84,1,S4,B4,D7B4,D7B4,35440.17,24739505250,10.39
A1,I08,S4,7,12,3919,Bacteria,4105292,821058,5.91,2,S4,B4,D7B4,D7B4,35440.17,29098433241,10.46
A1,J07,S4,7,12,3919,Bacteria,3053714,610743,5.79,3,S4,B4,D7B4,D7B4,35440.17,21644834363,10.34
A1,J08,S4,7,12,3919,Bacteria,3405540,681108,5.83,4,S4,B4,D7B4,D7B4,35440.17,24138581766,10.38
A1,K07,S5,7,12,2512,Bacteria,3600981,720196,5.86,1,S5,B5,D7B5,D7B5,39966.99,28784063483,10.46
A1,K08,S5,7,12,2512,Bacteria,2956364,591273,5.77,2,S5,B5,D7B5,D7B5,39966.99,23631399741,10.37
A1,L07,S5,7,12,2512,Bacteria,3005840,601168,5.78,3,S5,B5,D7B5,D7B5,39966.99,24026873068,10.38
A1,L08,S5,7,12,2512,Bacteria,3422631,684526,5.84,4,S5,B5,D7B5,D7B5,39966.99,27358441091,10.44
B2,M04,S6,7,12,116,Bacteria,2701438,540288,5.73,1,S6,B6,D7B6,D7B6,20839.52,11259343501,10.05
B2,N04,S6,7,12,116,Bacteria,1949597,389919,5.59,2,S6,B6,D7B6,D7B6,20839.52,8125725463,9.91
B2,N17,S6,7,12,116,Bacteria,2183743,436749,5.64,3,S6,B6,D7B6,D7B6,20839.52,9101640264,9.96
B2,O04,S7,7,12,124,Bacteria,2864002,572800,5.76,1,S7,B7,D7B7,D7B7,8634.07,4945595458,9.69
B2,P04,S7,7,12,124,Bacteria,14179520,2835904,6.45,2,S7,B7,D7B7,D7B7,8634.07,24485394449,10.39
B2,P17,S7,7,12,124,Bacteria,9261500,1852300,6.27,3,S7,B7,D7B7,D7B7,8634.07,15992888384,10.2
B2,A05,S8,7,12,353,Bacteria,11980874,2396175,6.38,1,S8,B8,D7B8,D7B8,8406.44,20143309796,10.3
B2,A18,S8,7,12,353,Bacteria,5965727,1193145,6.08,2,S8,B8,D7B8,D7B8,8406.44,10030106051,10
B2,B05,S8,7,12,353,Bacteria,4385086,877017,5.94,3,S8,B8,D7B8,D7B8,8406.44,7372593875,9.87
B2,C05,S9,7,12,6023,Bacteria,8081930,1616386,6.21,1,S9,B9,D7B9,D7B9,7308.69,11813665855,10.07
B2,C18,S9,7,12,6023,Bacteria,4367207,873441,5.94,2,S9,B9,D7B9,D7B9,7308.69,6383710400,9.81
B2,D05,S9,7,12,6023,Bacteria,3848032,769606,5.89,3,S9,B9,D7B9,D7B9,7308.69,5624812467,9.75
