Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,SampleID,SampleID2,Order,DNA_ng_per_gsoilDM_serial,B_no_gc_per_g_soil,B_no_gc_per_g_soil_log10
A1,N16,S3,60,20,2318,Bacteria,4480512,896102,5.95,4,S3,A3,D60A3,D60A3,19031.17,17053867877,10.23
A1,O15,S4,60,20,3919,Bacteria,3571715,714343,5.85,1,S4,A4,D60A4,D60A4,29144.57,20819222466,10.32
A1,O16,S4,60,20,3919,Bacteria,2954592,590918,5.77,2,S4,A4,D60A4,D60A4,29144.57,17222053413,10.24
A1,P15,S4,60,20,3919,Bacteria,3290272,658054,5.82,3,S4,A4,D60A4,D60A4,29144.57,19178703537,10.28
A1,P16,S4,60,20,3919,Bacteria,3311314,662263,5.82,4,S4,A4,D60A4,D60A4,29144.57,19301373049,10.29
A1,A17,S5,60,20,2512,Bacteria,4197790,839558,5.92,1,S5,A5,D60A5,D60A5,20615.28,17307723809,10.24
A1,A18,S5,60,20,2512,Bacteria,4413103,882621,5.95,2,S5,A5,D60A5,D60A5,20615.28,18195479641,10.26
A1,B17,S5,60,20,2512,Bacteria,4257757,851551,5.93,3,S5,A5,D60A5,D60A5,20615.28,17554962870,10.24
A1,B18,S5,60,20,2512,Bacteria,3899290,779858,5.89,4,S5,A5,D60A5,D60A5,20615.28,16076991553,10.21
A2,E12,S6,60,20,116,Bacteria,4119672,823934,5.92,1,S6,A6,D60A6,D60A6,19113.32,15748115192,10.2
A2,F12,S6,60,20,116,Bacteria,5844671,1168934,6.07,2,S6,A6,D60A6,D60A6,19113.32,22342211007,10.35
A2,F21,S6,60,20,116,Bacteria,6738173,1347635,6.13,3,S6,A6,D60A6,D60A6,19113.32,25757780619,10.41
A2,G12,S7,60,20,124,Bacteria,5014320,1002864,6,1,S7,A7,D60A7,D60A7,7876.21,7898767027,9.9
A2,H12,S7,60,20,124,Bacteria,12921219,2584244,6.41,2,S7,A7,D60A7,D60A7,7876.21,20354047306,10.31
A2,H21,S7,60,20,124,Bacteria,5757826,1151565,6.06,3,S7,A7,D60A7,D60A7,7876.21,9069967265,9.96
A2,I12,S8,60,20,353,Bacteria,2911985,582397,5.77,1,S8,A8,D60A8,D60A8,7003.86,4079026031,9.61
A2,J12,S8,60,20,353,Bacteria,7976026,1595205,6.2,2,S8,A8,D60A8,D60A8,7003.86,11172589695,10.05
A2,J21,S8,60,20,353,Bacteria,17251993,3450399,6.54,3,S8,A8,D60A8,D60A8,7003.86,24166105491,10.38
A2,K12,S9,60,20,6023,Bacteria,2401855,480371,5.68,1,S9,A9,D60A9,D60A9,8967.28,4307620510,9.63
A2,L12,S9,60,20,6023,Bacteria,8173262,1634652,6.21,2,S9,A9,D60A9,D60A9,8967.28,14658379632,10.17
A2,L21,S9,60,20,6023,Bacteria,8307352,1661470,6.22,3,S9,A9,D60A9,D60A9,8967.28,14898864105,10.17
A1,C17,S1,60,12,3865,Bacteria,5120524,1024105,6.01,1,S1,B1,D60B1,D60B1,22670.37,23216839301,10.37
A1,C18,S1,60,12,3865,Bacteria,5068743,1013749,6.01,2,S1,B1,D60B1,D60B1,22670.37,22982064949,10.36
A1,D17,S1,60,12,3865,Bacteria,5127069,1025414,6.01,3,S1,B1,D60B1,D60B1,22670.37,23246514815,10.37
A1,D18,S1,60,12,3865,Bacteria,4963706,992741,6,4,S1,B1,D60B1,D60B1,22670.37,22505805815,10.35
B2,M12,S10,60,12,1881,Bacteria,8803024,1760605,6.25,1,S10,B10,D60B10,D60B10,16661,29333437449,10.47
B2,N12,S10,60,12,1881,Bacteria,8403276,1680655,6.23,2,S10,B10,D60B10,D60B10,16661,28001390611,10.45
B2,N21,S10,60,12,1881,Bacteria,8659815,1731963,6.24,3,S10,B10,D60B10,D60B10,16661,28856233127,10.46
B2,O12,S11,60,12,2259,Bacteria,5408281,1081656,6.03,1,S11,B11,D60B11,D60B11,15832.75,17125586847,10.23
B2,P12,S11,60,12,2259,Bacteria,5918807,1183761,6.07,2,S11,B11,D60B11,D60B11,15832.75,18742189580,10.27
B2,P21,S11,60,12,2259,Bacteria,3228069,645614,5.81,3,S11,B11,D60B11,D60B11,15832.75,10221843753,10.01
B2,A13,S12,60,12,2407,Bacteria,7015179,1403036,6.15,1,S12,B12,D60B12,D60B12,19271.42,27038502562,10.43
B2,A22,S12,60,12,2407,Bacteria,8245579,1649116,6.22,2,S12,B12,D60B12,D60B12,19271.42,31780814741,10.5
B2,B13,S12,60,12,2407,Bacteria,5013036,1002607,6,3,S12,B12,D60B12,D60B12,19271.42,19321665259,10.29
B2,C13,S13,60,12,2408,Bacteria,5012860,1002572,6,1,S13,B13,D60B13,D60B13,11331.01,11360152050,10.06
B2,C22,S13,60,12,2408,Bacteria,5311938,1062388,6.03,2,S13,B13,D60B13,D60B13,11331.01,12037927666,10.08
B2,D13,S13,60,12,2408,Bacteria,6171562,1234312,6.09,3,S13,B13,D60B13,D60B13,11331.01,13986000005,10.15
B2,E13,S14,60,12,2411,Bacteria,8491795,1698359,6.23,1,S14,B14,D60B14,D60B14,11621.42,19737336197,10.3
B2,E22,S14,60,12,2411,Bacteria,5572618,1114524,6.05,2,S14,B14,D60B14,D60B14,11621.42,12952346876,10.11
B2,F13,S14,60,12,2411,Bacteria,7647606,1529521,6.18,3,S14,B14,D60B14,D60B14,11621.42,17775199589,10.25
B2,G13,S15,60,12,2417,Bacteria,5452497,1090499,6.04,1,S15,B15,D60B15,D60B15,9436.42,10290406932,10.01
B2,G22,S15,60,12,2417,Bacteria,3174968,634994,5.8,2,S15,B15,D60B15,D60B15,9436.42,5992070290,9.78
B2,H13,S15,60,12,2417,Bacteria,5895616,1179123,6.07,3,S15,B15,D60B15,D60B15,9436.42,11126700247,10.05
B2,I13,S16,60,12,4254,Bacteria,5718109,1143622,6.06,1,S16,B16,D60B16,D60B16,22991.14,26293170105,10.42
B2,I22,S16,60,12,4254,Bacteria,2238056,447611,5.65,2,S16,B16,D60B16,D60B16,22991.14,10291085834,10.01
B2,J13,S16,60,12,4254,Bacteria,6101625,1220325,6.09,3,S16,B16,D60B16,D60B16,22991.14,28056659288,10.45
B2,K13,S17,60,12,2665,Bacteria,5149911,1029982,6.01,1,S17,B17,D60B17,D60B17,29656.19,30545345858,10.48
B2,K22,S17,60,12,2665,Bacteria,6922635,1384527,6.14,2,S17,B17,D60B17,D60B17,29656.19,41059801108,10.61
B2,L13,S17,60,12,2665,Bacteria,3037755,607551,5.78,3,S17,B17,D60B17,D60B17,29656.19,18017650232,10.26
B2,M13,S18,60,12,6127,Bacteria,6653756,1330751,6.12,1,S18,B18,D60B18,D60B18,10857.66,14448837195,10.16
B2,M22,S18,60,12,6127,Bacteria,4122698,824540,5.92,2,S18,B18,D60B18,D60B18,10857.66,8952572059,9.95
B2,N13,S18,60,12,6127,Bacteria,7397247,1479449,6.17,3,S18,B18,D60B18,D60B18,10857.66,16063348995,10.21
B2,O13,S19,60,12,6135,Bacteria,2662860,532572,5.73,1,S19,B19,D60B19,D60B19,13618.91,7253052050,9.86
B2,O22,S19,60,12,6135,Bacteria,2979399,595880,5.78,2,S19,B19,D60B19,D60B19,13618.91,8115238231,9.91
B2,P13,S19,60,12,6135,Bacteria,4859114,971823,5.99,3,S19,B19,D60B19,D60B19,13618.91,13235173464,10.12
A1,E17,S2,60,12,4779,Bacteria,4492557,898511,5.95,1,S2,B2,D60B2,D60B2,15490.02,13917956762,10.14
A1,E18,S2,60,12,4779,Bacteria,4639063,927813,5.97,2,S2,B2,D60B2,D60B2,15490.02,14371845439,10.16
A1,F17,S2,60,12,4779,Bacteria,3835922,767184,5.88,3,S2,B2,D60B2,D60B2,15490.02,11883698409,10.07
A1,F18,S2,60,12,4779,Bacteria,4150694,830139,5.92,4,S2,B2,D60B2,D60B2,15490.02,12858872856,10.11
B2,A14,S20,60,12,6177,Bacteria,7549432,1509886,6.18,1,S20,B20,D60B20,D60B20,19189.1,28973357377,10.46
B2,B14,S20,60,12,6177,Bacteria,4236717,847343,5.93,2,S20,B20,D60B20,D60B20,19189.1,16259751769,10.21
B2,B22,S20,60,12,6177,Bacteria,4177004,835401,5.92,3,S20,B20,D60B20,D60B20,19189.1,16030595506,10.2
A1,G17,S3,60,12,2318,Bacteria,6305930,1261186,6.1,1,S3,B3,D60B3,D60B3,15709.12,19812122527,10.3
A1,G18,S3,60,12,2318,Bacteria,5848268,1169654,6.07,2,S3,B3,D60B3,D60B3,15709.12,18374235333,10.26
A1,H17,S3,60,12,2318,Bacteria,5188082,1037616,6.02,3,S3,B3,D60B3,D60B3,15709.12,16300034513,10.21
A1,H18,S3,60,12,2318,Bacteria,5630956,1126191,6.05,4,S3,B3,D60B3,D60B3,15709.12,17691469839,10.25
A1,I17,S4,60,12,3919,Bacteria,4065589,813118,5.91,1,S4,B4,D60B4,D60B4,35168.32,28595992840,10.46
A1,I18,S4,60,12,3919,Bacteria,3329444,665889,5.82,2,S4,B4,D60B4,D60B4,35168.32,23418196468,10.37
A1,J17,S4,60,12,3919,Bacteria,2738825,547765,5.74,3,S4,B4,D60B4,D60B4,35168.32,19263974008,10.28
A1,J18,S4,60,12,3919,Bacteria,3425837,685167,5.84,4,S4,B4,D60B4,D60B4,35168.32,24096171313,10.38
A1,K17,S5,60,12,2512,Bacteria,3428678,685736,5.84,1,S5,B5,D60B5,D60B5,27965.79,19177152301,10.28
A1,K18,S5,60,12,2512,Bacteria,3043275,608655,5.78,2,S5,B5,D60B5,D60B5,27965.79,17021520868,10.23
A1,L17,S5,60,12,2512,Bacteria,3084318,616864,5.79,3,S5,B5,D60B5,D60B5,27965.79,17251092078,10.24
A1,L18,S5,60,12,2512,Bacteria,2767775,553555,5.74,4,S5,B5,D60B5,D60B5,27965.79,15480605571,10.19
B2,E12,S6,60,12,116,Bacteria,5944402,1188880,6.08,1,S6,B6,D60B6,D60B6,26679.59,31718828716,10.5
B2,F12,S6,60,12,116,Bacteria,6219409,1243882,6.09,2,S6,B6,D60B6,D60B6,26679.59,33186259421,10.52
B2,F21,S6,60,12,116,Bacteria,5822733,1164547,6.07,3,S6,B6,D60B6,D60B6,26679.59,31069634298,10.49
B2,G12,S7,60,12,124,Bacteria,10853041,2170608,6.34,1,S7,B7,D60B7,D60B7,10415.21,22607329218,10.35
