Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A1,M05,S3,7,20,2318,Archaea,17495,3499,3.54,1,A3,D,D7A3,23012.24,80519836,7.91
A1,M06,S3,7,20,2318,Archaea,14656,2931,3.47,2,A3,D,D7A3,23012.24,67448882,7.83
A1,N05,S3,7,20,2318,Archaea,18371,3674,3.57,3,A3,D,D7A3,23012.24,84546978,7.93
A1,N06,S3,7,20,2318,Archaea,16743,3349,3.52,4,A3,D,D7A3,23012.24,77068000,7.89
A1,O05,S4,7,20,3919,Archaea,50768,10154,4.01,1,A4,D,D7A4,34164.3,346904266,8.54
A1,O06,S4,7,20,3919,Archaea,55860,11172,4.05,2,A4,D,D7A4,34164.3,381683520,8.58
A1,P05,S4,7,20,3919,Archaea,80302,16060,4.21,3,A4,D,D7A4,34164.3,548678601,8.74
A1,P06,S4,7,20,3919,Archaea,71728,14346,4.16,4,A4,D,D7A4,34164.3,490120997,8.69
A1,A07,S5,7,20,2512,Archaea,26214,5243,3.72,1,A5,D,D7A5,40565.2,212683344,8.33
A1,A08,S5,7,20,2512,Archaea,26982,5396,3.73,2,A5,D,D7A5,40565.2,218889819,8.34
A1,B07,S5,7,20,2512,Archaea,23925,4785,3.68,3,A5,D,D7A5,40565.2,194104482,8.29
A1,B08,S5,7,20,2512,Archaea,25947,5189,3.72,4,A5,D,D7A5,40565.2,210492823,8.32
A2,M04,S6,7,20,116,Archaea,52037,10407,4.02,1,A6,D,D7A6,25217.14,262434779,8.42
A2,N04,S6,7,20,116,Archaea,42025,8405,3.92,2,A6,D,D7A6,25217.14,211950064,8.33
A2,N17,S6,7,20,116,Archaea,74658,14932,4.17,3,A6,D,D7A6,25217.14,376542339,8.58
A2,O04,S7,7,20,124,Archaea,25335,5067,3.7,1,A7,D,D7A7,9280.47,47024153,7.67
A2,P04,S7,7,20,124,Archaea,18820,3764,3.58,2,A7,D,D7A7,9280.47,34931697,7.54
A2,P17,S7,7,20,124,Archaea,27340,5468,3.74,3,A7,D,D7A7,9280.47,50745622,7.71
A2,A05,S8,7,20,353,Archaea,154612,30922,4.49,1,A8,D,D7A8,7692.54,237868698,8.38
A2,A18,S8,7,20,353,Archaea,151654,30331,4.48,2,A8,D,D7A8,7692.54,233322407,8.37
A2,B05,S8,7,20,353,Archaea,169139,33828,4.53,3,A8,D,D7A8,7692.54,260223217,8.42
A2,C05,S9,7,20,6023,Archaea,19724,3945,3.6,1,A9,D,D7A9,9063.68,35756216,7.55
A2,C18,S9,7,20,6023,Archaea,20619,4124,3.62,2,A9,D,D7A9,9063.68,37378614,7.57
A2,D05,S9,7,20,6023,Archaea,18396,3679,3.57,3,A9,D,D7A9,9063.68,33345277,7.52
A1,M17,S1,0,12,3865,Archaea,69939,13988,4.15,1,B1,D,D0B1,19307.75,270076774,8.43
A1,M18,S1,0,12,3865,Archaea,70153,14031,4.15,2,B1,D,D0B1,19307.75,270907007,8.43
A1,N17,S1,0,12,3865,Archaea,78330,15666,4.19,3,B1,D,D0B1,19307.75,302475174,8.48
A1,N18,S1,0,12,3865,Archaea,62351,12470,4.1,4,B1,D,D0B1,19307.75,240767613,8.38
B2,K14,S10,0,12,1881,Archaea,14763,2953,3.47,1,B10,D,D0B10,14029.29,41428501,7.62
B2,L14,S10,0,12,1881,Archaea,54151,10830,4.03,2,B10,D,D0B10,14029.29,151937239,8.18
B2,L22,S10,0,12,1881,Archaea,26051,5210,3.72,3,B10,D,D0B10,14029.29,73092614,7.86
B2,M14,S11,0,12,2259,Archaea,53047,10609,4.03,1,B11,D,D0B11,6657.1,70625124,7.85
B2,N14,S11,0,12,2259,Archaea,29517,5903,3.77,2,B11,D,D0B11,6657.1,39296833,7.59
B2,N22,S11,0,12,2259,Archaea,21564,4313,3.63,3,B11,D,D0B11,6657.1,28712052,7.46
B2,O14,S12,0,12,2407,Archaea,17306,3461,3.54,1,B12,D,D0B12,15399.29,53296955,7.73
B2,P14,S12,0,12,2407,Archaea,17071,3414,3.53,2,B12,D,D0B12,15399.29,52573188,7.72
B2,P22,S12,0,12,2407,Archaea,33794,6759,3.83,3,B12,D,D0B12,15399.29,104083825,8.02
B2,A15,S13,0,12,2408,Archaea,51645,10329,4.01,1,B13,D,D0B13,7328.64,75697552,7.88
B2,A23,S13,0,12,2408,Archaea,110632,22126,4.34,2,B13,D,D0B13,7328.64,162153551,8.21
B2,B15,S13,0,12,2408,Archaea,48020,9604,3.98,3,B13,D,D0B13,7328.64,70384286,7.85
B2,B23,S14,0,12,2411,Archaea,75539,15108,4.18,1,B14,D,D0B14,8705.78,131526955,8.12
B2,C15,S14,0,12,2411,Archaea,17755,3551,3.55,2,B14,D,D0B14,8705.78,30914232,7.49
B2,D15,S14,0,12,2411,Archaea,20289,4058,3.61,3,B14,D,D0B14,8705.78,35328063,7.55
B2,C23,S15,0,12,2417,Archaea,52357,10471,4.02,1,B15,D,D0B15,9441.02,98856973,8
B2,E15,S15,0,12,2417,Archaea,23898,4780,3.68,2,B15,D,D0B15,9441.02,45128099,7.65
B2,F15,S15,0,12,2417,Archaea,54725,10945,4.04,3,B15,D,D0B15,9441.02,103332018,8.01
B2,D23,S16,0,12,4254,Archaea,68735,13747,4.14,1,B16,D,D0B16,18750.44,257762327,8.41
B2,G15,S16,0,12,4254,Archaea,111276,22255,4.35,2,B16,D,D0B16,18750.44,417291087,8.62
B2,H15,S16,0,12,4254,Archaea,74219,14844,4.17,3,B16,D,D0B16,18750.44,278331561,8.44
B2,E23,S17,0,12,2665,Archaea,69532,13906,4.14,1,B17,D,D0B17,30038.81,417719696,8.62
B2,I15,S17,0,12,2665,Archaea,58362,11672,4.07,2,B17,D,D0B17,30038.81,350612994,8.54
B2,J15,S17,0,12,2665,Archaea,48534,9707,3.99,3,B17,D,D0B17,30038.81,291586731,8.46
B2,F23,S18,0,12,6127,Archaea,49372,9874,3.99,1,B18,D,D0B18,8190.18,80869822,7.91
B2,K15,S18,0,12,6127,Archaea,69556,13911,4.14,2,B18,D,D0B18,8190.18,113933573,8.06
B2,L15,S18,0,12,6127,Archaea,39205,7841,3.89,3,B18,D,D0B18,8190.18,64219189,7.81
B2,G23,S19,0,12,6135,Archaea,94159,18832,4.27,1,B19,D,D0B19,9752.91,183666857,8.26
B2,M15,S19,0,12,6135,Archaea,19683,3937,3.6,2,B19,D,D0B19,9752.91,38397218,7.58
B2,N15,S19,0,12,6135,Archaea,29150,5830,3.77,3,B19,D,D0B19,9752.91,56859483,7.75
A1,O17,S2,0,12,4779,Archaea,47554,9511,3.98,1,B2,D,D0B2,15848.2,150732217,8.18
A1,O18,S2,0,12,4779,Archaea,40999,8200,3.91,2,B2,D,D0B2,15848.2,129955229,8.11
A1,P17,S2,0,12,4779,Archaea,45281,9056,3.96,3,B2,D,D0B2,15848.2,143521287,8.16
A1,P18,S2,0,12,4779,Archaea,55471,11094,4.05,4,B2,D,D0B2,15848.2,175819916,8.25
B2,H23,S20,0,12,6177,Archaea,56570,11314,4.05,1,B20,D,D0B20,11375.5,128702398,8.11
B2,O15,S20,0,12,6177,Archaea,22047,4409,3.64,2,B20,D,D0B20,11375.5,50154576,7.7
B2,P15,S20,0,12,6177,Archaea,60212,12042,4.08,3,B20,D,D0B20,11375.5,136983762,8.14
A1,A19,S3,0,12,2318,Archaea,21183,4237,3.63,1,B3,D,D0B3,17702.18,75004157,7.88
A1,A20,S3,0,12,2318,Archaea,22922,4584,3.66,2,B3,D,D0B3,17702.18,81146815,7.91
A1,B19,S3,0,12,2318,Archaea,21388,4278,3.63,3,B3,D,D0B3,17702.18,75729946,7.88
A1,B20,S3,0,12,2318,Archaea,23534,4707,3.67,4,B3,D,D0B3,17702.18,83324184,7.92
A1,C19,S4,0,12,3919,Archaea,56406,11281,4.05,1,B4,D,D0B4,22671.33,255755278,8.41
A1,C20,S4,0,12,3919,Archaea,64479,12896,4.11,2,B4,D,D0B4,22671.33,292369476,8.47
A1,D19,S4,0,12,3919,Archaea,51703,10341,4.01,3,B4,D,D0B4,22671.33,234444227,8.37
A1,D20,S4,0,12,3919,Archaea,59189,11838,4.07,4,B4,D,D0B4,22671.33,268383209,8.43
A1,E19,S5,0,12,2512,Archaea,29728,5946,3.77,1,B5,D,D0B5,25542.83,151877672,8.18
A1,E20,S5,0,12,2512,Archaea,33016,6603,3.82,2,B5,D,D0B5,25542.83,168659312,8.23
A1,F19,S5,0,12,2512,Archaea,27917,5583,3.75,3,B5,D,D0B5,25542.83,142605625,8.15
A1,F20,S5,0,12,2512,Archaea,36967,7393,3.87,4,B5,D,D0B5,25542.83,188838149,8.28
B2,C14,S6,0,12,116,Archaea,86927,17385,4.24,1,B6,D,D0B6,18476.44,321212941,8.51
B2,D14,S6,0,12,116,Archaea,49979,9996,4,2,B6,D,D0B6,18476.44,184690513,8.27
B2,D22,S6,0,12,116,Archaea,81795,16359,4.21,3,B6,D,D0B6,18476.44,302256112,8.48
B2,E14,S7,0,12,124,Archaea,33629,6726,3.83,1,B7,D,D0B7,5829.6,39209915,7.59
B2,F14,S7,0,12,124,Archaea,53901,10780,4.03,2,B7,D,D0B7,5829.6,62843128,7.8
B2,F22,S7,0,12,124,Archaea,44819,8964,3.95,3,B7,D,D0B7,5829.6,52256568,7.72
B2,G14,S8,0,12,353,Archaea,44166,8833,3.95,1,B8,D,D0B8,11530.89,101852388,8.01
B2,H14,S8,0,12,353,Archaea,105584,21117,4.32,2,B8,D,D0B8,11530.89,243497891,8.39
B2,H22,S8,0,12,353,Archaea,45599,9120,3.96,3,B8,D,D0B8,11530.89,105161754,8.02
B2,I14,S9,0,12,6023,Archaea,44028,8806,3.94,1,B9,D,D0B9,8279.13,72906040,7.86
B2,J14,S9,0,12,6023,Archaea,13172,2634,3.42,2,B9,D,D0B9,8279.13,21807235,7.34
B2,J22,S9,0,12,6023,Archaea,114819,22964,4.36,3,B9,D,D0B9,8279.13,190121997,8.28
A1,G09,S1,14,12,3865,Archaea,87732,17546,4.24,1,B1,D,D14B1,30731.61,539216861,8.73
A1,G10,S1,14,12,3865,Archaea,87889,17578,4.24,2,B1,D,D14B1,30731.61,540200272,8.73
A1,H09,S1,14,12,3865,Archaea,90198,18040,4.26,3,B1,D,D14B1,30731.61,554398277,8.74
A1,H10,S1,14,12,3865,Archaea,86105,17221,4.24,4,B1,D,D14B1,30731.61,529229087,8.72
B2,C07,S10,14,12,1881,Archaea,15084,3017,3.48,1,B10,D,D14B10,15420.65,46524111,7.67
B2,C19,S10,14,12,1881,Archaea,65151,13030,4.11,2,B10,D,D14B10,15420.65,200931114,8.3
B2,D07,S10,14,12,1881,Archaea,22003,4401,3.64,3,B10,D,D14B10,15420.65,67866296,7.83
B2,E07,S11,14,12,2259,Archaea,31175,6235,3.79,1,B11,D,D14B11,4782.38,29818142,7.47
B2,E19,S11,14,12,2259,Archaea,58389,11678,4.07,2,B11,D,D14B11,4782.38,55848638,7.75
B2,F07,S11,14,12,2259,Archaea,17305,3461,3.54,3,B11,D,D14B11,4782.38,16551818,7.22
B2,G07,S12,14,12,2407,Archaea,25041,5008,3.7,1,B12,D,D14B12,5474.3,27415313,7.44
B2,G19,S12,14,12,2407,Archaea,12787,2557,3.41,2,B12,D,D14B12,5474.3,13997795,7.15
B2,H07,S12,14,12,2407,Archaea,6888,1378,3.14,3,B12,D,D14B12,5474.3,7543590,6.88
B2,I07,S13,14,12,2408,Archaea,11999,2400,3.38,1,B13,D,D14B13,11850.1,28440242,7.45
B2,I19,S13,14,12,2408,Archaea,16796,3359,3.53,2,B13,D,D14B13,11850.1,39804488,7.6
B2,J07,S13,14,12,2408,Archaea,9476,1895,3.28,3,B13,D,D14B13,11850.1,22455941,7.35
B2,K07,S14,14,12,2411,Archaea,5844,1169,3.07,1,B14,D,D14B14,7983.31,9332488,6.97
B2,K19,S14,14,12,2411,Archaea,25740,5148,3.71,2,B14,D,D14B14,7983.31,41098073,7.61
B2,L07,S14,14,12,2411,Archaea,5695,1139,3.06,3,B14,D,D14B14,7983.31,9092989,6.96
B2,M07,S15,14,12,2417,Archaea,59728,11946,4.08,1,B15,D,D14B15,8134.99,97180544,7.99
B2,M19,S15,14,12,2417,Archaea,18367,3673,3.57,2,B15,D,D14B15,8134.99,29879804,7.48
B2,N07,S15,14,12,2417,Archaea,56918,11384,4.06,3,B15,D,D14B15,8134.99,92608681,7.97
B2,O07,S16,14,12,4254,Archaea,38149,7630,3.88,1,B16,D,D14B16,21085.13,160879526,8.21
B2,O19,S16,14,12,4254,Archaea,32410,6482,3.81,2,B16,D,D14B16,21085.13,136673799,8.14
B2,P07,S16,14,12,4254,Archaea,28296,5659,3.75,3,B16,D,D14B16,21085.13,119320739,8.08
B2,A08,S17,14,12,2665,Archaea,55518,11104,4.05,1,B17,D,D14B17,36893.5,409665375,8.61
B2,B08,S17,14,12,2665,Archaea,76181,15236,4.18,2,B17,D,D14B17,36893.5,562109299,8.75
B2,B19,S17,14,12,2665,Archaea,101553,20311,4.31,3,B17,D,D14B17,36893.5,749343789,8.87
B2,C08,S18,14,12,6127,Archaea,14272,2854,3.46,1,B18,D,D14B18,12004.84,34261804,7.53
B2,D08,S18,14,12,6127,Archaea,18253,3651,3.56,2,B18,D,D14B18,12004.84,43829659,7.64
B2,D19,S18,14,12,6127,Archaea,38889,7778,3.89,3,B18,D,D14B18,12004.84,93373620,7.97
B2,E08,S19,14,12,6135,Archaea,17314,3463,3.54,1,B19,D,D14B19,14507.81,50240529,7.7
B2,F08,S19,14,12,6135,Archaea,32269,6454,3.81,2,B19,D,D14B19,14507.81,93633375,7.97
B2,F19,S19,14,12,6135,Archaea,39545,7909,3.9,3,B19,D,D14B19,14507.81,114742231,8.06
A1,I09,S2,14,12,4779,Archaea,54318,10864,4.04,1,B2,D,D14B2,21339.02,231827108,8.37
A1,I10,S2,14,12,4779,Archaea,52392,10478,4.02,2,B2,D,D14B2,21339.02,223590247,8.35
A1,J09,S2,14,12,4779,Archaea,58796,11759,4.07,3,B2,D,D14B2,21339.02,250925531,8.4
A1,J10,S2,14,12,4779,Archaea,54882,10976,4.04,4,B2,D,D14B2,21339.02,234217079,8.37
B2,G08,S20,14,12,6177,Archaea,15900,3180,3.5,1,B20,D,D14B20,18258.75,58062841,7.76
B2,H08,S20,14,12,6177,Archaea,15838,3168,3.5,2,B20,D,D14B20,18258.75,57843736,7.76
B2,H19,S20,14,12,6177,Archaea,15385,3077,3.49,3,B20,D,D14B20,18258.75,56182189,7.75
A1,K09,S3,14,12,2318,Archaea,17712,3542,3.55,1,B3,D,D14B3,16044.32,56828978,7.75
A1,K10,S3,14,12,2318,Archaea,18366,3673,3.57,2,B3,D,D14B3,16044.32,58930784,7.77
A1,L09,S3,14,12,2318,Archaea,17155,3431,3.54,3,B3,D,D14B3,16044.32,55048059,7.74
A1,L10,S3,14,12,2318,Archaea,19336,3867,3.59,4,B3,D,D14B3,16044.32,62043382,7.79
A1,M09,S4,14,12,3919,Archaea,52518,10504,4.02,1,B4,D,D14B4,37585.56,394798740,8.6
A1,M10,S4,14,12,3919,Archaea,52399,10480,4.02,2,B4,D,D14B4,37585.56,393896686,8.6
A1,N09,S4,14,12,3919,Archaea,56281,11256,4.05,3,B4,D,D14B4,37585.56,423063082,8.63
A1,N10,S4,14,12,3919,Archaea,56968,11394,4.06,4,B4,D,D14B4,37585.56,428249890,8.63
A1,O09,S5,14,12,2512,Archaea,31532,6306,3.8,1,B5,D,D14B5,33852.66,213474846,8.33
A1,O10,S5,14,12,2512,Archaea,27523,5505,3.74,2,B5,D,D14B5,33852.66,186358869,8.27
A1,P09,S5,14,12,2512,Archaea,15,3,0.46,3,B5,D,D14B5,33852.66,101558,5.01
A1,P10,S5,14,12,2512,Archaea,39120,7824,3.89,4,B5,D,D14B5,33852.66,264863178,8.42
B2,K06,S6,14,12,116,Archaea,31276,6255,3.8,1,B6,D,D14B6,24327.64,152169365,8.18
B2,L06,S6,14,12,116,Archaea,61436,12287,4.09,2,B6,D,D14B6,24327.64,298913667,8.48
B2,L18,S6,14,12,116,Archaea,103306,20661,4.32,3,B6,D,D14B6,24327.64,502633293,8.7
B2,M06,S7,14,12,124,Archaea,21099,4220,3.63,1,B7,D,D14B7,9373.39,39555714,7.6
B2,N06,S7,14,12,124,Archaea,5857,1171,3.07,2,B7,D,D14B7,9373.39,10976242,7.04
B2,N18,S7,14,12,124,Archaea,20456,4091,3.61,3,B7,D,D14B7,9373.39,38346547,7.58
B2,O06,S8,14,12,353,Archaea,177942,35588,4.55,1,B8,D,D14B8,8460.9,301106566,8.48
B2,P06,S8,14,12,353,Archaea,88886,17777,4.25,2,B8,D,D14B8,8460.9,150409448,8.18
B2,P18,S8,14,12,353,Archaea,61846,12369,4.09,3,B8,D,D14B8,8460.9,104652892,8.02
B2,A07,S9,14,12,6023,Archaea,16920,3384,3.53,1,B9,D,D14B9,10650.78,36042246,7.56
B2,A19,S9,14,12,6023,Archaea,30837,6167,3.79,2,B9,D,D14B9,10650.78,65683372,7.82
B2,B07,S9,14,12,6023,Archaea,15000,3000,3.48,3,B9,D,D14B9,10650.78,31952345,7.5
A1,K01,S1,1,12,3865,Archaea,84351,16870,4.23,1,B1,D,D1B1,30005.94,506200277,8.7
A1,K02,S1,1,12,3865,Archaea,72354,14471,4.16,2,B1,D,D1B1,30005.94,434216017,8.64
A1,L01,S1,1,12,3865,Archaea,73633,14727,4.17,3,B1,D,D1B1,30005.94,441897539,8.65
A1,L02,S1,1,12,3865,Archaea,61067,12213,4.09,4,B1,D,D1B1,30005.94,366462595,8.56
B2,I01,S10,1,12,1881,Archaea,10765,2153,3.33,1,B10,D,D1B10,15909.9,34254024,7.53
B2,I16,S10,1,12,1881,Archaea,11985,2397,3.38,2,B10,D,D1B10,15909.9,38136041,7.58
B2,J01,S10,1,12,1881,Archaea,11807,2361,3.37,3,B10,D,D1B10,15909.9,37563285,7.57
B2,K01,S11,1,12,2259,Archaea,16373,3275,3.52,1,B11,D,D1B11,13341.03,43691863,7.64
B2,K16,S11,1,12,2259,Archaea,60428,12086,4.08,2,B11,D,D1B11,13341.03,161239652,8.21
B2,L01,S11,1,12,2259,Archaea,22806,4561,3.66,3,B11,D,D1B11,13341.03,60848424,7.78
B2,M01,S12,1,12,2407,Archaea,5404,1081,3.03,1,B12,D,D1B12,13591.73,14692661,7.17
B2,M16,S12,1,12,2407,Archaea,23117,4623,3.66,2,B12,D,D1B12,13591.73,62834571,7.8
B2,N01,S12,1,12,2407,Archaea,4619,924,2.97,3,B12,D,D1B12,13591.73,12558759,7.1
B2,O01,S13,1,12,2408,Archaea,3475429,695086,5.84,1,B13,D,D1B13,11508.55,7999433183,9.9
B2,O16,S13,1,12,2408,Archaea,17878,3576,3.55,2,B13,D,D1B13,11508.55,41154581,7.61
B2,P01,S13,1,12,2408,Archaea,6936,1387,3.14,3,B13,D,D1B13,11508.55,15962361,7.2
B2,A02,S14,1,12,2411,Archaea,17168,3434,3.54,1,B14,D,D1B14,9438.13,32410543,7.51
B2,B02,S14,1,12,2411,Archaea,18049,3610,3.56,2,B14,D,D1B14,9438.13,34071654,7.53
B2,B16,S14,1,12,2411,Archaea,30466,6093,3.78,3,B14,D,D1B14,9438.13,57506534,7.76
B2,C02,S15,1,12,2417,Archaea,21829,4366,3.64,1,B15,D,D1B15,8534.47,37261495,7.57
B2,D02,S15,1,12,2417,Archaea,23159,4632,3.67,2,B15,D,D1B15,8534.47,39531664,7.6
B2,D16,S15,1,12,2417,Archaea,23805,4761,3.68,3,B15,D,D1B15,8534.47,40632610,7.61
B2,E02,S16,1,12,4254,Archaea,22547,4509,3.65,1,B16,D,D1B16,22876.81,103151554,8.01
B2,F02,S16,1,12,4254,Archaea,33716,6743,3.83,2,B16,D,D1B16,22876.81,154258357,8.19
B2,F16,S16,1,12,4254,Archaea,22797,4559,3.66,3,B16,D,D1B16,22876.81,104295395,8.02
B2,G02,S17,1,12,2665,Archaea,28691,5738,3.76,1,B17,D,D1B17,30064.02,172507339,8.24
B2,H02,S17,1,12,2665,Archaea,44597,8919,3.95,2,B17,D,D1B17,30064.02,268140982,8.43
B2,H16,S17,1,12,2665,Archaea,49164,9833,3.99,3,B17,D,D1B17,30064.02,295619495,8.47
B2,I02,S18,1,12,6127,Archaea,17608,3522,3.55,1,B18,D,D1B18,9647.42,33978198,7.53
B2,J02,S18,1,12,6127,Archaea,25398,5080,3.71,2,B18,D,D1B18,9647.42,49008872,7.69
B2,J16,S18,1,12,6127,Archaea,57487,11497,4.06,3,B18,D,D1B18,9647.42,110916339,8.04
B2,K02,S19,1,12,6135,Archaea,13330,2666,3.43,1,B19,D,D1B19,10537.05,28091763,7.45
B2,L02,S19,1,12,6135,Archaea,27670,5534,3.74,2,B19,D,D1B19,10537.05,58312009,7.77
B2,L16,S19,1,12,6135,Archaea,16732,3346,3.52,3,B19,D,D1B19,10537.05,35256954,7.55
A1,M01,S2,1,12,4779,Archaea,47166,9433,3.97,1,B2,D,D1B2,21537.68,203164982,8.31
A1,M02,S2,1,12,4779,Archaea,41235,8247,3.92,2,B2,D,D1B2,21537.68,177621287,8.25
A1,N01,S2,1,12,4779,Archaea,3506,701,2.85,3,B2,D,D1B2,21537.68,15097917,7.18
A1,N02,S2,1,12,4779,Archaea,43222,8644,3.94,4,B2,D,D1B2,21537.68,186171748,8.27
B2,M02,S20,1,12,6177,Archaea,18338,3668,3.56,1,B20,D,D1B20,13299.07,48780980,7.69
B2,N02,S20,1,12,6177,Archaea,3807,761,2.88,2,B20,D,D1B20,13299.07,10120590,7.01
B2,N16,S20,1,12,6177,Archaea,20402,4080,3.61,3,B20,D,D1B20,13299.07,54260196,7.73
A1,O01,S3,1,12,2318,Archaea,2445,489,2.69,1,B3,D,D1B3,17841.14,8724317,6.94
A1,O02,S3,1,12,2318,Archaea,17778,3556,3.55,2,B3,D,D1B3,17841.14,63443088,7.8
A1,P01,S3,1,12,2318,Archaea,21010,4202,3.62,3,B3,D,D1B3,17841.14,74968463,7.87
A1,P02,S3,1,12,2318,Archaea,7223,1445,3.16,4,B3,D,D1B3,17841.14,25780445,7.41
A1,A03,S4,1,12,3919,Archaea,60367,12073,4.08,1,B4,D,D1B4,38492.67,464721990,8.67
A1,A04,S4,1,12,3919,Archaea,50210,10042,4,2,B4,D,D1B4,38492.67,386543380,8.59
A1,B03,S4,1,12,3919,Archaea,65520,13104,4.12,3,B4,D,D1B4,38492.67,504407932,8.7
A1,B04,S4,1,12,3919,Archaea,60692,12138,4.08,4,B4,D,D1B4,38492.67,467224014,8.67
A1,C03,S5,1,12,2512,Archaea,32770,6554,3.82,1,B5,D,D1B5,33885.71,222086921,8.35
A1,C04,S5,1,12,2512,Archaea,30764,6153,3.79,2,B5,D,D1B5,33885.71,208498753,8.32
A1,D03,S5,1,12,2512,Archaea,31443,6289,3.8,3,B5,D,D1B5,33885.71,213107209,8.33
A1,D04,S5,1,12,2512,Archaea,31331,6266,3.8,4,B5,D,D1B5,33885.71,212327838,8.33
B2,A01,S6,1,12,116,Archaea,3216,643,2.81,1,B6,D,D1B6,23506.87,15114916,7.18
B2,A16,S6,1,12,116,Archaea,67600,13520,4.13,2,B6,D,D1B6,23506.87,317812861,8.5
B2,B01,S6,1,12,116,Archaea,36530,7306,3.86,3,B6,D,D1B6,23506.87,171741181,8.23
B2,C01,S7,1,12,124,Archaea,17090,3418,3.53,1,B7,D,D1B7,6436.71,22000690,7.34
B2,C16,S7,1,12,124,Archaea,33249,6650,3.82,2,B7,D,D1B7,6436.71,42804151,7.63
B2,D01,S7,1,12,124,Archaea,17566,3513,3.55,3,B7,D,D1B7,6436.71,22612178,7.35
B2,E01,S8,1,12,353,Archaea,82914,16583,4.22,1,B8,D,D1B8,10355.79,171729983,8.23
B2,E16,S8,1,12,353,Archaea,48499,9700,3.99,2,B8,D,D1B8,10355.79,100451115,8
B2,F01,S8,1,12,353,Archaea,45698,9140,3.96,3,B8,D,D1B8,10355.79,94651875,7.98
B2,G01,S9,1,12,6023,Archaea,10415,2083,3.32,1,B9,D,D1B9,7642.12,15918545,7.2
B2,G16,S9,1,12,6023,Archaea,18551,3710,3.57,2,B9,D,D1B9,7642.12,28352281,7.45
B2,H01,S9,1,12,6023,Archaea,19225,3845,3.58,3,B9,D,D1B9,7642.12,29383968,7.47
A1,K11,S1,21,12,3865,Archaea,82707,16541,4.22,1,B1,D,D21B1,27022.57,446980305,8.65
A1,K12,S1,21,12,3865,Archaea,78645,15729,4.2,2,B1,D,D21B1,27022.57,425037979,8.63
A1,L11,S1,21,12,3865,Archaea,87517,17503,4.24,3,B1,D,D21B1,27022.57,472976015,8.67
A1,L12,S1,21,12,3865,Archaea,80143,16029,4.2,4,B1,D,D21B1,27022.57,433144749,8.64
B2,A09,S10,21,12,1881,Archaea,18817,3763,3.58,1,B10,D,D21B10,18478.21,69533515,7.84
B2,A20,S10,21,12,1881,Archaea,62658,12532,4.1,2,B10,D,D21B10,18478.21,231568965,8.36
B2,B09,S10,21,12,1881,Archaea,13806,2761,3.44,3,B10,D,D21B10,18478.21,51018346,7.71
B2,C09,S11,21,12,2259,Archaea,18039,3608,3.56,1,B11,D,D21B11,23347.08,84236272,7.93
B2,C20,S11,21,12,2259,Archaea,26419,5284,3.72,2,B11,D,D21B11,23347.08,123365981,8.09
B2,D09,S11,21,12,2259,Archaea,15923,3185,3.5,3,B11,D,D21B11,23347.08,74360456,7.87
B2,E09,S12,21,12,2407,Archaea,5059,1012,3.01,1,B12,D,D21B12,28082.63,28419624,7.45
B2,E20,S12,21,12,2407,Archaea,14315,2863,3.46,2,B12,D,D21B12,28082.63,80400577,7.91
B2,F09,S12,21,12,2407,Archaea,9077,1815,3.26,3,B12,D,D21B12,28082.63,50969978,7.71
B2,G09,S13,21,12,2408,Archaea,16639,3328,3.52,1,B13,D,D21B13,10943.28,36419244,7.56
B2,G20,S13,21,12,2408,Archaea,72065,14413,4.16,2,B13,D,D21B13,10943.28,157725530,8.2
B2,H09,S13,21,12,2408,Archaea,12451,2490,3.4,3,B13,D,D21B13,10943.28,27248773,7.44
B2,I09,S14,21,12,2411,Archaea,9044,1809,3.26,1,B14,D,D21B14,8804.89,15928047,7.2
B2,I20,S14,21,12,2411,Archaea,15578,3116,3.49,2,B14,D,D21B14,8804.89,27436038,7.44
B2,J09,S14,21,12,2411,Archaea,5271,1054,3.02,3,B14,D,D21B14,8804.89,9280354,6.97
B2,K09,S15,21,12,2417,Archaea,20674,4135,3.62,1,B15,D,D21B15,8874.04,36694156,7.56
B2,K20,S15,21,12,2417,Archaea,19065,3813,3.58,2,B15,D,D21B15,8874.04,33836715,7.53
B2,L09,S15,21,12,2417,Archaea,13900,2780,3.44,3,B15,D,D21B15,8874.04,24669832,7.39
B2,M09,S16,21,12,4254,Archaea,34082,6816,3.83,1,B16,D,D21B16,19940.69,135915752,8.13
B2,M20,S16,21,12,4254,Archaea,124910,24982,4.4,2,B16,D,D21B16,19940.69,498158349,8.7
B2,N09,S16,21,12,4254,Archaea,71922,14384,4.16,3,B16,D,D21B16,19940.69,286826903,8.46
B2,O09,S17,21,12,2665,Archaea,52044,10409,4.02,1,B17,D,D21B17,22948.06,238866332,8.38
B2,O20,S17,21,12,2665,Archaea,41363,8273,3.92,2,B17,D,D21B17,22948.06,189849281,8.28
B2,P09,S17,21,12,2665,Archaea,36761,7352,3.87,3,B17,D,D21B17,22948.06,168714120,8.23
B2,A10,S18,21,12,6127,Archaea,18161,3632,3.56,1,B18,D,D21B18,12980.5,47145169,7.67
