Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A2,H04,S18,3,20,6127,Archaea,34841,6968,3.84,2,A18,D,D3A18,8288.82,57756512,7.76
A2,H17,S18,3,20,6127,Archaea,31439,6288,3.8,3,A18,D,D3A18,8288.82,52120113,7.72
A2,I04,S19,3,20,6135,Archaea,27971,5594,3.75,1,A19,D,D3A19,10951.39,61262076,7.79
A2,J04,S19,3,20,6135,Archaea,25958,5192,3.72,2,A19,D,D3A19,10951.39,56859617,7.75
A2,J17,S19,3,20,6135,Archaea,23887,4777,3.68,3,A19,D,D3A19,10951.39,52314790,7.72
A1,G03,S2,3,20,4779,Archaea,61216,12243,4.09,1,A2,D,D3A2,20936.45,256324901,8.41
A1,G04,S2,3,20,4779,Archaea,51285,10257,4.01,2,A2,D,D3A2,20936.45,214745121,8.33
A1,H03,S2,3,20,4779,Archaea,56229,11246,4.05,3,A2,D,D3A2,20936.45,235451265,8.37
A1,H04,S2,3,20,4779,Archaea,57651,11530,4.06,4,A2,D,D3A2,20936.45,241397216,8.38
A2,K04,S20,3,20,6177,Archaea,18995,3799,3.58,1,A20,D,D3A20,18076.27,68671740,7.84
A2,L04,S20,3,20,6177,Archaea,14728,2946,3.47,2,A20,D,D3A20,18076.27,53252684,7.73
A2,L17,S20,3,20,6177,Archaea,20094,4019,3.6,3,A20,D,D3A20,18076.27,72648519,7.86
A1,I03,S3,3,20,2318,Archaea,19120,3824,3.58,1,A3,D,D3A3,18334.23,70110088,7.85
A1,I04,S3,3,20,2318,Archaea,18540,3708,3.57,2,A3,D,D3A3,18334.23,67983318,7.83
A1,J03,S3,3,20,2318,Archaea,20936,4187,3.62,3,A3,D,D3A3,18334.23,76765413,7.89
A1,J04,S3,3,20,2318,Archaea,20708,4142,3.62,4,A3,D,D3A3,18334.23,75940373,7.88
A1,K03,S4,3,20,3919,Archaea,48911,9782,3.99,1,A4,D,D3A4,39109.05,382564727,8.58
A1,K04,S4,3,20,3919,Archaea,41189,8238,3.92,2,A4,D,D3A4,39109.05,322180354,8.51
A1,L03,S4,3,20,3919,Archaea,54766,10953,4.04,3,A4,D,D3A4,39109.05,428361425,8.63
A1,L04,S4,3,20,3919,Archaea,51821,10364,4.02,4,A4,D,D3A4,39109.05,405326194,8.61
A1,M03,S5,3,20,2512,Archaea,21791,4358,3.64,1,A5,D,D3A5,36962.85,161084098,8.21
A1,M04,S5,3,20,2512,Archaea,22811,4562,3.66,2,A5,D,D3A5,36962.85,168624519,8.23
A1,N03,S5,3,20,2512,Archaea,27377,5475,3.74,3,A5,D,D3A5,36962.85,202371600,8.31
A1,N04,S5,3,20,2512,Archaea,26238,5248,3.72,4,A5,D,D3A5,36962.85,193981033,8.29
A2,O02,S6,3,20,116,Archaea,185973,37195,4.57,1,A6,D,D3A6,23988.71,892260081,8.95
A2,P02,S6,3,20,116,Archaea,6960,1392,3.14,2,A6,D,D3A6,23988.71,33392285,7.52
A2,P16,S6,3,20,116,Archaea,51432,10286,4.01,3,A6,D,D3A6,23988.71,246747875,8.39
A2,A03,S7,3,20,124,Archaea,41727,8345,3.92,1,A7,D,D3A7,5340.76,44568643,7.65
A2,A17,S7,3,20,124,Archaea,59184,11837,4.07,2,A7,D,D3A7,5340.76,63218578,7.8
